["Please translate Font Name, Font Size, Font Style, and Translation Text. If these fields are blank, they are unavailable for translation."]
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Description,right_m_h.Group16.Group5.btn_simple_square6,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group5.btn_simple_square7.btn_simple_round_caption8,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group5.Text4,Calibri,18,1,"Пиролитическое уплотнение","Пиролитическое уплотнение",,
Caption,right_m_h.Group16.Group5.digits_transp_s3.transp_s_digits_Name3,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group5.digits_transp_s3.transp_s_digits_text3,Calibri,16,1,,,,
Caption,right_m_h.Group16.Group6.btn_simple_square8.btn_simple_round_caption9,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group6.btn_simple_square8,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group6.btn_simple_square9.btn_simple_round_caption10,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group6.Text5,Calibri,18,1,"Охлаждение","Охлаждение",,
Caption,right_m_h.Group16.Group6.digits_transp_s4.transp_s_digits_Name4,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group6.digits_transp_s4.transp_s_digits_text4,Calibri,16,1,,,,
Caption,right_m_h.Group16.Group7.btn_simple_square12.btn_simple_round_caption13,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group7.btn_simple_square12,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group7.btn_simple_square13.btn_simple_round_caption14,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group7.Text6,Calibri,18,1,"Вентиляция","Вентиляция",,
Caption,right_m_h.Group16.Group7.digits_transp_s6.transp_s_digits_Name6,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group7.digits_transp_s6.transp_s_digits_text6,Calibri,16,1,,,,
Caption,right_m_h.Group19.transp_s_digits_Name22,Calibri,16,1,"Заданное напраяжение","Заданное напраяжение",,
Caption,right_m_h.Group19.transp_s_digits_text20,Calibri,16,1,,,,
Caption,right_m_h.Group21.transp_s_digits_Name33,Calibri,16,1,"Текущая    температура","Текущая    температура",,
Caption,right_m_h.Group21.transp_s_digits_text19,Calibri,16,1,,,,
Caption,right_m_h.Group22.transp_s_digits_Name35,Calibri,16,1,"Целевая    температура","Целевая    температура",,
Caption,right_m_h.Group22.transp_s_digits_text34,Calibri,16,1,,,,
