"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,left_m_h.Group13.digits_transp_s19.transp_s_digits_text20,Calibri,16,1,,DT18,,
Caption,left_m_h.Group13.digits_transp_s20.transp_s_digits_Name20,Calibri,16,1,ДТ18,,,
Caption,left_m_h.Group13.digits_transp_s20.transp_s_digits_text21,Calibri,16,1,,Exhaust gases,,
Caption,left_m_h.Group13.Text13,Calibri,22,1,Отработанные газы,Status,,
Caption,left_m_h.Group13.digits_transp_s65.transp_s_digits_Name65,Calibri,16,1,Статус,,,
Caption,left_m_h.Group13.digits_transp_s65.transp_s_digits_text66,Calibri,16,1,,Open,,
Caption,left_m_h.Group13.Group30.btn_simple_square39.btn_simple_round_caption40,Calibri,16,1,Откр,Close,,
Caption,left_m_h.Group13.Group30.btn_simple_square40.btn_simple_round_caption41,Calibri,16,1,Закр,К3,,
Caption,left_m_h.Group13.Group30.Text23,Calibri,18,1,К3,Status,,
Caption,left_m_h.Group13.Group30.digits_transp_s78.transp_s_digits_Name80,Calibri,16,1,Статус,,,
Caption,left_m_h.Group13.Group30.digits_transp_s78.transp_s_digits_text79,Calibri,16,1,,,,
Caption,left_m_h.Group13.Group30.digits_transp_s79.transp_s_digits_text80,Calibri,16,1,,Remote,,
Caption,left_m_h.Group13.Group30.digits_transp_s79.transp_s_digits_Name81,Calibri,16,1,Remote,Emergency Stop,,
Caption,left_m_h.Group14.Group4.btn_simple_square15.btn_simple_round_caption16,Calibri,16,1,Экстренный стоп,On/Off,,
Caption,left_m_h.Group14.Group4.btn_simple_square16.btn_simple_round_caption17,Calibri,16,1,Вкл/Откл,Consumption,,
Caption,left_m_h.Group14.digits_transp_s26.transp_s_digits_Name26,Calibri,16,1,Расход,,,
Caption,left_m_h.Group14.digits_transp_s26.transp_s_digits_text27,Calibri,16,1,,Ventilation,,
Caption,left_m_h.Group14.Text14,Calibri,22,1,Вентиляция,Status,,
Caption,left_m_h.Group14.digits_transp_s63.transp_s_digits_Name63,Calibri,16,1,Статус,,,
Caption,left_m_h.Group14.digits_transp_s63.transp_s_digits_text64,Calibri,16,1,,Open,,
Caption,left_m_h.Group14.Group29.btn_simple_square37.btn_simple_round_caption38,Calibri,16,1,Откр,Close,,
Caption,left_m_h.Group14.Group29.btn_simple_square38.btn_simple_round_caption39,Calibri,16,1,Закр,K4,,
Caption,left_m_h.Group14.Group29.Text22,Calibri,18,1,K4,Status,,
Caption,left_m_h.Group14.Group29.digits_transp_s76.transp_s_digits_Name78,Calibri,16,1,Статус,,,
Caption,left_m_h.Group14.Group29.digits_transp_s76.transp_s_digits_text77,Calibri,16,1,,,,
Caption,left_m_h.Group14.Group29.digits_transp_s77.transp_s_digits_text78,Calibri,16,1,,Remote,,
Caption,left_m_h.Group14.Group29.digits_transp_s77.transp_s_digits_Name79,Calibri,16,1,Remote,Lock,,
Caption,left_m_h.Group17.btn_simple_square2.btn_simple_round_caption3,Calibri,16,1,Заблокировать,Menu,,
Caption,left_m_h.Group17.btn_simple_square.btn_simple_round_caption1,Calibri,16,1,Меню,Log,,
Caption,left_m_h.Group17.btn_simple_square5.btn_simple_round_caption6,Calibri,16,1,Протокол,Reaction chamber,,
Caption,left_m_h.Group17.Text10,Calibri,22,1,Реакционная камера,Given       voltage,,
Caption,left_m_h.Group17.digits_transp_s34.transp_s_digits_Name34,Calibri,16,1,Заданное    напряжение,,,
Caption,left_m_h.Group17.digits_transp_s34.transp_s_digits_text35,Calibri,16,1,,TK location,,
Caption,left_m_h.Group17.digits_transp_s38.transp_s_digits_Name38,Calibri,16,1,Положение ТК,,,
Caption,left_m_h.Group17.digits_transp_s38.transp_s_digits_text39,Calibri,16,1,,normal functioning,,
Description,left_m_h.Group17.digits_transp_s68.transp_s_rect_green68,,,,normal functioning,allowed temperature deviation is exceeded ,,
Description,left_m_h.Group17.digits_transp_s68.transp_s_rect_yellow68,,,,allowed temperature deviation is exceeded ,Failure ,,
Description,left_m_h.Group17.digits_transp_s68.transp_s_rect_red68,,,,Failure ,Temperature controller,,
Caption,left_m_h.Group17.digits_transp_s68.transp_s_digits_Name68,Calibri,16,1,Темп. контроллер,,,
Caption,left_m_h.Group17.digits_transp_s68.transp_s_digits_text69,Calibri,16,1,,thermocouple positioning motor is on,,
Description,left_m_h.Group17.digits_transp_s69.transp_s_rect_green69,,,,thermocouple positioning motor is on,thermocouple positioning motor is blocked,,
Description,left_m_h.Group17.digits_transp_s69.transp_s_rect_yellow69,,,,thermocouple positioning motor is blocked,thermocouple positioning motor is in emergency condition,,
Description,left_m_h.Group17.digits_transp_s69.transp_s_rect_red69,,,,thermocouple positioning motor is in emergency condition,Motor,,
Caption,left_m_h.Group17.digits_transp_s69.transp_s_digits_Name69,Calibri,16,1,Мотор,,,
Caption,left_m_h.Group17.digits_transp_s69.transp_s_digits_text70,Calibri,16,1,,Given      temperature,,
Caption,left_m_h.Group17.Group21.transp_s_digits_Name33,Calibri,16,1,Текущая    температура,,,
Caption,left_m_h.Group17.Group21.transp_s_digits_text19,Calibri,16,1,,Target    temperature,,
Caption,left_m_h.Group17.Group22.transp_s_digits_Name35,Calibri,16,1,Целевая    температура,,,
Caption,left_m_h.Group17.Group22.transp_s_digits_text34,Calibri,16,1,,Emergency Stop,,
Caption,left_m_h.Group12.Group2.btn_simple_square11.btn_simple_round_caption12,Calibri,16,1,Экстренный стоп,On/Off,,
Caption,left_m_h.Group12.Group2.btn_simple_square12.btn_simple_round_caption13,Calibri,16,1,Вкл/Откл,Consumption,,
Caption,left_m_h.Group12.digits_transp_s21.transp_s_digits_Name21,Calibri,16,1,Расход,,,
Caption,left_m_h.Group12.digits_transp_s21.transp_s_digits_text22,Calibri,16,1,,Pressure,,
Caption,left_m_h.Group12.digits_transp_s22.transp_s_digits_Name22,Calibri,16,1,Давление,,,
Caption,left_m_h.Group12.digits_transp_s22.transp_s_digits_text23,Calibri,16,1,,Vacuum,,
Caption,left_m_h.Group12.Text12,Calibri,22,1,Вакуум,Status,,
Caption,left_m_h.Group12.digits_transp_s67.transp_s_digits_Name67,Calibri,16,1,Статус,,,
Caption,left_m_h.Group12.digits_transp_s67.transp_s_digits_text68,Calibri,16,1,,Emergency Stop,,
Caption,left_m_h.Group19.Group1.btn_simple_square9.btn_simple_round_caption10,Calibri,16,1,Экстренный стоп,On/Off,,
Caption,left_m_h.Group19.Group1.btn_simple_square10.btn_simple_round_caption11,Calibri,16,1,Вкл/Откл,Current,,
Caption,left_m_h.Group19.digits_transp_s29.transp_s_digits_Name29,Calibri,16,1,Ток,,,
Caption,left_m_h.Group19.digits_transp_s29.transp_s_digits_text30,Calibri,16,1,,Voltage,,
Caption,left_m_h.Group19.digits_transp_s30.transp_s_digits_Name30,Calibri,16,1,Напряжение,,,
Caption,left_m_h.Group19.digits_transp_s30.transp_s_digits_text31,Calibri,16,1,,Given       voltage,,
Caption,left_m_h.Group19.digits_transp_s31.transp_s_digits_Name31,Calibri,16,1,Заданное    напряжение,,,
Caption,left_m_h.Group19.digits_transp_s31.transp_s_digits_text32,Calibri,16,1,,Power     source,,
Caption,left_m_h.Group19.Text11,Calibri,22,1,Источник питания,Status,,
Caption,left_m_h.Group19.digits_transp_s66.transp_s_digits_Name66,Calibri,16,1,Статус,,,
Caption,left_m_h.Group19.digits_transp_s66.transp_s_digits_text67,Calibri,16,1,,Emergency Stop,,
Caption,left_m_h.btn_simple_square1.btn_simple_round_caption2,Calibri,16,1,Экстренный стоп,Consumption,,
Caption,left_m_h.digits_transp_s8.transp_s_digits_Name8,Calibri,16,1,Расход,,,
Caption,left_m_h.digits_transp_s8.transp_s_digits_text8,Calibri,16,1,,Pressure,,
Caption,left_m_h.digits_transp_s9.transp_s_digits_Name9,Calibri,16,1,Давление,,,
Caption,left_m_h.digits_transp_s9.transp_s_digits_text9,Calibri,16,1,,DT18,,
Caption,left_m_h.digits_transp_s10.transp_s_digits_Name10,Calibri,16,1,ДТ18,,,
Caption,left_m_h.digits_transp_s10.transp_s_digits_text10,Calibri,16,1,,DD2,,
Caption,left_m_h.digits_transp_s11.transp_s_digits_Name11,Calibri,16,1,ДД2,,,
Caption,left_m_h.digits_transp_s11.transp_s_digits_text11,Calibri,16,1,,RHM2,,
Caption,left_m_h.digits_transp_s12.transp_s_digits_Name12,Calibri,16,1,РХМ2,,,
Caption,left_m_h.digits_transp_s12.transp_s_digits_text12,Calibri,16,1,,Consumption,,
Caption,left_m_h.digits_transp_s13.transp_s_digits_Name13,Calibri,16,1,Расход,,,
Caption,left_m_h.digits_transp_s13.transp_s_digits_text13,Calibri,16,1,,DD4,,
Caption,left_m_h.digits_transp_s14.transp_s_digits_Name14,Calibri,16,1,ДД4,,,
